Total Energy,Kinetic Energy,Potential Energy,SPARC,OpenMM,Base Harmonic Bond Energy,Base Nonbonded Energy,Base C M Motion Remover,Base Harmonic Angle Energy
-46407.825402,28.591836,-46436.417238,-46600.629830,164.212592,4.422994,121.466354,0.000000,38.323244

-46455.090909,32.163037,-46487.253946,-46599.527124,112.273178,0.000000,112.273178,0.000000,0.000000

-46444.474391,34.323291,-46478.797682,-46585.932112,107.134430,0.000000,107.134430,0.000000,0.000000

