Total Energy,Kinetic Energy,Potential Energy,Vasp,OpenMM,Base Harmonic Bond Energy,Base Nonbonded Energy,Base C M Motion Remover,Base Harmonic Angle Energy
-1178.240379,28.767719,-1207.008097,-1371.220568,164.212470,4.422994,121.466232,0.000000,38.323244

-1225.828623,32.037330,-1257.865952,-1370.380517,112.514565,0.000000,112.514565,0.000000,0.000000

-1225.668866,32.755387,-1258.424253,-1366.575895,108.151642,0.000000,108.151642,0.000000,0.000000

