Total Energy,Kinetic Energy,Potential Energy,SPARC,OpenMM,Base Harmonic Bond Energy,Base Nonbonded Energy,Base C M Motion Remover,Base Harmonic Angle Energy
-46431.773246,28.143767,-46459.917013,-46624.129606,164.212592,4.422994,121.466354,0.000000,38.323244

-46481.827901,29.905761,-46511.733662,-46624.547147,112.813484,0.000000,112.813484,0.000000,0.000000

-46483.815294,29.994989,-46513.810283,-46623.580043,109.769760,0.000000,109.769760,0.000000,0.000000

